Vial_Name,Num_Gen,Arriv_Time,Start_T,Start_F,Replication,First_Addition,Second_Addition,Check_Date,Adults_T,Adults_F,Relative_Arriv_Time
1-F12-40-20-II,1,F12,40,20,2,2023-05-24T00:00:00Z,2023-06-05T00:00:00Z,2023-07-17T00:00:00Z,17,14,12
1-F12-40-20-III,1,F12,40,20,3,2023-05-24T00:00:00Z,2023-06-05T00:00:00Z,2023-07-17T00:00:00Z,13,13,12
1-F18-20-40-I,1,F18,20,40,1,2023-05-24T00:00:00Z,2023-06-11T00:00:00Z,2023-07-17T00:00:00Z,1,21,18
1-F18-20-40-II,1,F18,20,40,2,2023-05-24T00:00:00Z,2023-06-11T00:00:00Z,2023-07-17T00:00:00Z,0,28,18
1-T18-10-20-III,1,T18,10,20,3,2023-05-21T00:00:00Z,2023-06-08T00:00:00Z,2023-07-20T00:00:00Z,9,1,-18
1-F18-10-20-I,1,F18,10,20,1,2023-05-21T00:00:00Z,2023-06-08T00:00:00Z,2023-07-20T00:00:00Z,5,10,18
1-F18-10-20-III,1,F18,10,20,3,2023-05-21T00:00:00Z,2023-06-08T00:00:00Z,2023-07-20T00:00:00Z,0,17,18
1-F18-20-10-I,1,F18,20,10,1,2023-05-21T00:00:00Z,2023-06-08T00:00:00Z,2023-07-20T00:00:00Z,7,4,18
1-T6-20-40-I,1,T6,20,40,1,2023-05-24T00:00:00Z,2023-05-30T00:00:00Z,2023-07-23T00:00:00Z,12,15,-6
1-T18-20-40-II,1,T18,20,40,2,2023-05-24T00:00:00Z,2023-06-11T00:00:00Z,2023-07-23T00:00:00Z,8,2,-18
1-T18-20-40-III,1,T18,20,40,3,2023-05-24T00:00:00Z,2023-06-11T00:00:00Z,2023-07-23T00:00:00Z,11,1,-18
1-F6-30-30-I,1,F6,30,30,1,2023-05-24T00:00:00Z,2023-05-30T00:00:00Z,2023-07-23T00:00:00Z,13,20,6
1-F18-20-40-III,1,F18,20,40,3,2023-05-24T00:00:00Z,2023-06-11T00:00:00Z,2023-07-23T00:00:00Z,1,27,18
1-F18-30-30-I,1,F18,30,30,1,2023-05-24T00:00:00Z,2023-06-11T00:00:00Z,2023-07-23T00:00:00Z,2,22,18
1-F18-30-30-II,1,F18,30,30,2,2023-05-24T00:00:00Z,2023-06-11T00:00:00Z,2023-07-23T00:00:00Z,2,21,18
1-F18-30-30-III,1,F18,30,30,3,2023-05-24T00:00:00Z,2023-06-11T00:00:00Z,2023-07-23T00:00:00Z,7,23,18
1-F18-40-20-I,1,F18,40,20,1,2023-05-24T00:00:00Z,2023-06-11T00:00:00Z,2023-07-23T00:00:00Z,9,10,18
1-F18-40-20-II,1,F18,40,20,2,2023-05-24T00:00:00Z,2023-06-11T00:00:00Z,2023-07-23T00:00:00Z,10,10,18
1-F6-20-40-II,1,F6,20,40,2,2023-05-24T00:00:00Z,2023-05-30T00:00:00Z,2023-07-29T00:00:00Z,11,22,6
1-F18-40-20-III,1,F18,40,20,3,2023-05-24T00:00:00Z,2023-06-11T00:00:00Z,2023-07-26T00:00:00Z,12,12,18
2-0-10-20-II,2,0,10,20,2,2023-05-21T00:00:00Z,NA,2023-08-19T00:00:00Z,18,9,0
2-0-20-40-III,2,0,20,40,3,2023-05-21T00:00:00Z,NA,2023-08-19T00:00:00Z,15,27,0
2-0-30-30-II,2,0,30,30,2,2023-05-21T00:00:00Z,NA,2023-08-19T00:00:00Z,23,17,0
2-T6-10-20-III,2,T6,10,20,3,2023-05-24T00:00:00Z,2023-05-30T00:00:00Z,2023-08-22T00:00:00Z,24,8,-6
2-T12-10-20-III,2,T12,10,20,3,2023-05-24T00:00:00Z,2023-06-05T00:00:00Z,2023-08-22T00:00:00Z,27,4,-12
2-0-10-20-I,2,0,10,20,1,2023-05-21T00:00:00Z,NA,2023-08-25T00:00:00Z,12,30,0
2-0-20-40-I,2,0,20,40,1,2023-05-21T00:00:00Z,NA,2023-08-25T00:00:00Z,25,14,0
2-0-30-30-I,2,0,30,30,1,2023-05-21T00:00:00Z,NA,2023-08-25T00:00:00Z,21,17,0
2-0-40-20-II,2,0,40,20,2,2023-05-21T00:00:00Z,NA,2023-08-25T00:00:00Z,32,6,0
2-T6-30-30-II,2,T6,30,30,2,2023-05-27T00:00:00Z,2023-06-02T00:00:00Z,2023-08-25T00:00:00Z,26,10,-6
2-T18-30-30-I,2,T18,30,30,1,2023-05-27T00:00:00Z,2023-06-14T00:00:00Z,2023-08-25T00:00:00Z,34,0,-18
2-T6-15-15-II,2,T6,15,15,2,2023-05-24T00:00:00Z,2023-05-30T00:00:00Z,2023-08-28T00:00:00Z,27,6,-6
2-T6-20-10-II,2,T6,20,10,2,2023-05-24T00:00:00Z,2023-05-30T00:00:00Z,2023-08-28T00:00:00Z,29,3,-6
2-T12-10-20-I,2,T12,10,20,1,2023-05-24T00:00:00Z,2023-06-05T00:00:00Z,2023-08-28T00:00:00Z,23,4,-12
2-T12-10-20-II,2,T12,10,20,2,2023-05-24T00:00:00Z,2023-06-05T00:00:00Z,2023-08-28T00:00:00Z,26,6,-12
2-T12-15-15-I,2,T12,15,15,1,2023-05-24T00:00:00Z,2023-06-05T00:00:00Z,2023-08-28T00:00:00Z,33,3,-12
2-T12-15-15-II,2,T12,15,15,2,2023-05-24T00:00:00Z,2023-06-05T00:00:00Z,2023-08-28T00:00:00Z,33,4,-12
2-T18-10-20-I,2,T18,10,20,1,2023-05-24T00:00:00Z,2023-06-11T00:00:00Z,2023-08-28T00:00:00Z,22,9,-18
2-T18-10-20-II,2,T18,10,20,2,2023-05-24T00:00:00Z,2023-06-11T00:00:00Z,2023-08-28T00:00:00Z,31,1,-18
2-T18-10-20-III,2,T18,10,20,3,2023-05-24T00:00:00Z,2023-06-11T00:00:00Z,2023-08-28T00:00:00Z,21,3,-18
2-T18-15-15-I,2,T18,15,15,1,2023-05-24T00:00:00Z,2023-06-11T00:00:00Z,2023-08-28T00:00:00Z,28,0,-18
2-T18-15-15-II,2,T18,15,15,2,2023-05-24T00:00:00Z,2023-06-11T00:00:00Z,2023-08-28T00:00:00Z,31,2,-18
2-T18-15-15-III,2,T18,15,15,3,2023-05-24T00:00:00Z,2023-06-11T00:00:00Z,2023-08-28T00:00:00Z,24,1,-18
2-0-20-10-II,2,0,20,10,2,2023-05-21T00:00:00Z,NA,2023-09-01T00:00:00Z,42,2,0
2-0-30-30-III,2,0,30,30,3,2023-05-21T00:00:00Z,NA,2023-09-01T00:00:00Z,18,26,0
2-0-40-20-I,2,0,40,20,1,2023-05-21T00:00:00Z,NA,2023-09-01T00:00:00Z,27,9,0
2-T6-20-40-I,2,T6,20,40,1,2023-05-27T00:00:00Z,2023-06-02T00:00:00Z,2023-09-01T00:00:00Z,20,12,-6
2-T6-20-40-II,2,T6,20,40,2,2023-05-27T00:00:00Z,2023-06-02T00:00:00Z,2023-09-01T00:00:00Z,33,6,-6
2-T6-20-40-III,2,T6,20,40,3,2023-05-27T00:00:00Z,2023-06-02T00:00:00Z,2023-09-01T00:00:00Z,19,20,-6
2-T6-30-30-I,2,T6,30,30,1,2023-05-27T00:00:00Z,2023-06-02T00:00:00Z,2023-09-01T00:00:00Z,30,8,-6
2-T6-30-30-III,2,T6,30,30,3,2023-05-27T00:00:00Z,2023-06-02T00:00:00Z,2023-09-01T00:00:00Z,24,11,-6
2-T6-40-20-I,2,T6,40,20,1,2023-05-27T00:00:00Z,2023-06-02T00:00:00Z,2023-09-01T00:00:00Z,33,7,-6
2-T6-40-20-III,2,T6,40,20,3,2023-05-27T00:00:00Z,2023-06-02T00:00:00Z,2023-09-01T00:00:00Z,37,1,-6
2-T12-20-40-I,2,T12,20,40,1,2023-05-27T00:00:00Z,2023-06-08T00:00:00Z,2023-09-01T00:00:00Z,32,0,-12
2-T12-30-30-I,2,T12,30,30,1,2023-05-27T00:00:00Z,2023-06-08T00:00:00Z,2023-09-01T00:00:00Z,33,2,-12
